======================================================================
  CATAN BOT SIMULATION -- 2026-04-03 15:35:53
  Variant: base-3-4, Players: 4, VP Target: 10
======================================================================

PLAYERS:
  1. Bot Bob (blue)
  2. Bot Alice (red)
  3. Bot Diana (orange)
  4. Bot Charlie (white)

----------------------------------------------------------------------
TURN LOG:
----------------------------------------------------------------------

T 69 | Bot Bob        | longest-road         | longest road (5)
T 70 | Bot Bob        | end-turn             | ended turn
T 70 | Bot Alice      | dice-roll            | 6+4=10
T 70 | SYSTEM         | resource-distribution | resource-distribution
T 70 | Bot Alice      | build-settlement     | built settlement
T 70 | Bot Alice      | maritime-trade       | 3:1 lumber→brick
T 70 | Bot Alice      | maritime-trade       | 3:1 ore→lumber
T 70 | Bot Alice      | build-road           | built road
T 71 | Bot Alice      | end-turn             | ended turn
T 71 | Bot Diana      | dice-roll            | 2+4=6
T 71 | SYSTEM         | resource-distribution | resource-distribution
T 71 | Bot Diana      | maritime-trade       | 3:1 grain→lumber
T 71 | Bot Diana      | build-settlement     | built settlement
T 72 | Bot Diana      | end-turn             | ended turn
T 72 | Bot Charlie    | dice-roll            | 2+5=7
T 72 | Bot Charlie    | discard              | discarded 4 cards
T 72 | Bot Charlie    | move-robber          | moved robber
T 72 | Bot Charlie    | steal                | stole from Bot Diana
T 72 | Bot Charlie    | maritime-trade       | 3:1 ore→grain
T 72 | Bot Charlie    | buy-dev-card         | bought dev card
T 73 | Bot Charlie    | end-turn             | ended turn
T 73 | Bot Bob        | dice-roll            | 5+2=7
T 73 | Bot Bob        | move-robber          | moved robber
T 73 | Bot Bob        | steal                | stole from Bot Alice
T 74 | Bot Bob        | end-turn             | ended turn
T 74 | Bot Alice      | dice-roll            | 4+4=8
T 74 | SYSTEM         | resource-distribution | resource-distribution
T 75 | Bot Alice      | end-turn             | ended turn
T 75 | Bot Diana      | dice-roll            | 3+1=4
T 75 | SYSTEM         | resource-distribution | resource-distribution
T 76 | Bot Diana      | end-turn             | ended turn
T 76 | Bot Charlie    | dice-roll            | 5+2=7
T 76 | Bot Bob        | discard              | discarded 4 cards
T 76 | Bot Charlie    | move-robber          | moved robber
T 76 | Bot Charlie    | steal                | stole from Bot Diana
T 77 | Bot Charlie    | end-turn             | ended turn
